"","V1","V2","V3"
"3",-0.0303972223249437,-0.0457697816712668,0.0165151758049962
"3",-0.0340894726344992,-0.0513292236049133,0.0185211797489643
"3",-0.0337885560714223,-0.0508750958402826,0.0183574885166917
"3",-0.032122519787317,-0.0483675924465454,0.0174525419198512
"3",-0.042852390531849,-0.064521126177191,0.0232793035285274
"3",-0.0312786077391921,-0.047096903379612,0.0169940406675294
"3",-0.0323645903279834,-0.0487320797712513,0.0175840592254086
"3",-0.0332822875406625,-0.0501138557921712,0.0180826423251973
"3",-0.0308989243859466,-0.0465252073855492,0.0167877560037639
"3",-0.0322693876588824,-0.0485887332178182,0.0175323357301125
"3",-0.0453523293066702,-0.0682847795984887,0.0246393138402888
"3",-0.0144574118579709,-0.0129222361079014,-0.0617683750864651
"3",-0.0315885979768262,-0.0475636608269048,0.0171624603235621
"3",-0.0318376815669688,-0.0479387096280539,0.0172977885605038
"3",-0.0340483054993112,-0.0512672386721029,0.0184988139050544
"3",-0.0321837864831783,-0.0484597911960166,0.0174854199797565
"3",-0.0362726333670506,-0.0546163262428467,0.0197072493592682
"3",-0.0648560316903325,-0.0976245294623784,0.0352272851196865
"3",-0.035575233108096,-0.0535662852457949,0.0193283687837372
"3",-0.0430629209207355,-0.0648396425638631,0.0233960196509829
"3",-0.029460666229924,-0.0443595783570246,0.0160063319533961
"3",-0.0398471143900988,-0.0599981093073025,0.0216491130577854
"3",-0.0317932094702482,-0.0478717463106593,0.0172736262270343
"3",-0.0271771319485413,-0.0409204873289692,0.014765508944904
"3",-0.0475126978483278,-0.0715381418846068,0.0258099333323826
"3",-0.0463757036629222,-0.0698218907233002,0.025194492550894
"3",-0.0350163459096322,-0.0527247906703643,0.0190247364328459
"3",-0.0438225881933998,-0.0659833152877769,0.0238086720270227
"3",-0.0293584127379174,-0.0442056116861498,0.0159507759960743
"3",-0.0317023107289266,-0.0477348782340847,0.0172242402927045
"3",-0.0302103155453241,-0.0454873725518337,0.0164127258259959
"3",-0.0666008293528097,-0.100262828911214,0.0361769507255724
"3",-0.0377631525724273,-0.0568582773046384,0.020516560717071
"3",-0.032919919759943,-0.0495682401681384,0.0178857692590046
"3",-0.0372862337367993,-0.05614244055566,0.0202579067393824
"3",-0.0381733336754178,-0.0574780749457627,0.0207398332520859
"3",-0.0316954373622047,-0.047724530289294,0.0172205066860567
"3",-0.0333280336136757,-0.0501734794706676,0.0181056712890107
"3",-0.0440891609310466,-0.066370870081645,0.0239467950695638
"3",-0.0311765714683675,-0.0469418654768934,0.0169383278577648
"3",-0.0314624028034194,-0.0473736468259276,0.0170938976926945
"3",-0.0307482439663812,-0.0462983235151295,0.016705889593889
"3",-0.0335211933897477,-0.0504681719251721,0.0182113732977051
"3",-0.0334987464267678,-0.0504342529026992,0.0181991545631139
"3",-0.0309320289387048,-0.0465750533654229,0.0168057418438286
"3",-0.0418037775460501,-0.0629350650555286,0.0227102773603502
"3",-0.0647392359875887,-0.0974618974264514,0.0351631806276424
"3",-0.0366165775455365,-0.0551332122023108,0.0198926274387217
"3",-0.0583349918900271,-0.087828037084075,0.0316882410089483
"3",-0.0568929990137563,-0.0856316990041915,0.0308996089403141
"3",-0.0329752982080834,-0.0496516233674532,0.0179158562609998
"3",-0.039581315842704,-0.0595979289338198,0.0215047201701426
"3",-0.0566586659944479,-0.0852326163220234,0.0307606879094036
"3",-0.0307659865040221,-0.0463250393673798,0.0167155295205864
"3",-0.0392041589812829,-0.0590292073665185,0.0212996581059239
"3",-0.0383705466562439,-0.0577747071796283,0.0208446600774911
"3",-0.0384779060508215,-0.0579364920913482,0.0209041156007502
"3",-0.0313702036098666,-0.04723482019537,0.0170438050495845
"3",-0.031910379399156,-0.0480467439900047,0.0173370042072907
"3",-0.0312428237497519,-0.0470424037635141,0.0169744768849933
"3",-0.0337204011978095,-0.0507735184431593,0.0183206663035109
"3",-0.0339285383671514,-0.0510869074253853,0.0184337455272169
"3",-0.0301676441200584,-0.0454234285922899,0.0163903112604204
"3",-0.0423775323001609,-0.0638063300858351,0.0230214213451603
"3",-0.0297831054197084,-0.0448430687509645,0.0161811203554276
"3",-0.0412708221917991,-0.0621399553824424,0.0224221981666138
"3",-0.051172717415958,-0.0770378612981022,0.0277988890050046
"3",-0.0341300514883657,-0.0513903220415554,0.0185432256435782
"3",-0.034767656031638,-0.0523503455238137,0.0188896268521654
"3",-0.059222740302067,-0.0891369861266392,0.0321593741718166
"3",-0.0339363099084209,-0.0510986091066052,0.018437967911516
"3",-0.0869929910489805,-0.130914939260665,0.0472031117462642
"3",-0.0499814332923136,-0.075254839338912,0.027153904666308
"3",-0.0629427189987393,-0.0947584786054123,0.0341911821317267
"3",-0.0661590390825062,-0.0995936429541217,0.0359328737668247
